,device_id,group
0,3939996495880662904,8
1,-5127195038907890249,0
2,3074841628121636464,10
3,1930589242199599785,10
4,-2845082486521958712,10
5,-3405141012564405716,8
6,3945286494773194056,0
7,-2852484171323335274,1
8,-269796318473858365,9
9,-7570481596336911685,5
10,-8480830654134927996,6
11,-6625504581719182762,2
12,1422826039315998442,8
13,-7619158856929311444,8
14,3668576115546342494,1
15,8106279234301141118,11
16,8943102080486395055,7
17,-3924202746573116560,9
18,-6402051168525933616,11
19,-846870034785203422,11
20,8139909260330701263,7
21,-1403242147935199038,9
22,-501799857213211241,9
23,-8761688468552928795,9
24,-2304659018384894121,4
25,3310219636112643833,11
26,-6650709897471241431,7
27,3831724925469269331,10
28,-3591687745462204004,5
29,-5860493116479805741,4
30,5250440138539831956,5
31,-2140538208458962310,4
32,3931785318088371865,9
33,8380670653544213085,8
34,408203349623730937,1
35,-6041868883745743910,0
36,-2673307960281260865,0
37,2406576014393379484,8
38,-1095880264939798923,7
39,5483866340661512270,7
40,6829980856013917324,8
41,-7479149424482621713,11
42,8950825775231567723,3
43,-7591511241211994146,11
44,-580908414354847389,0
45,-2990600113122054488,10
46,3636284727722783295,3
47,-2883684182297975222,11
48,-6689616439140587409,10
49,-3565807419924252503,10
50,-2053271398590802888,8
51,2371349156754850581,9
52,-5098144955172527723,7
53,489914404200806942,7
54,5049847897108478902,2
55,5980884879662634915,11
56,-3852301912933132243,8
57,-3479044361941521629,9
58,-410177831297815838,11
59,-1625352849295921460,3
60,-374719699130997132,6
61,8366030167696948480,9
62,-7724748524236706158,0
63,-8139136456862037982,6
64,6401657198131376077,7
65,7878798936522303524,9
66,-3935374224343687515,9
67,-7930891560059239611,3
68,-7775263855641031861,11
69,-5869494722814205361,6
70,4368820388206823122,5
71,-3035141074699412916,3
72,7748521022361511701,4
73,-7362179592318966190,8
74,-9032509548984209270,6
75,-5190889719879415510,11
76,-1414331991576292076,7
77,-8135870663994012010,11
78,-211589567969168154,7
79,-8474744067647997411,11
80,-5269841514784388918,10
81,4667072668572898336,1
82,3382645696001697125,0
83,8505329481292556566,8
84,-2826877253431301813,10
85,2998091545501566205,0
86,5009802930145047177,1
87,2892683147693573854,8
88,823011407460901323,3
89,-3555045010253634079,8
90,9152287657668948105,5
91,3956743805619993274,4
92,8994276715573094021,1
93,-719535132590635275,10
94,3557389010738486360,9
95,-3798589121937976610,4
96,1712301280518461459,10
97,-891253380140214635,10
98,4966844084729363153,4
99,-1582522465813700591,2
100,-907393745770623386,9
101,-329979107097464780,9
102,-2252744741849158453,4
103,-1518769323626929610,8
104,-987970181026786660,7
105,-8106736824335591054,1
106,4464331155436080941,4
107,6121518362971139448,8
108,4297606949812411142,4
109,7401595587026903876,9
110,1614500866565781756,1
111,-5868524940408702219,8
112,8546761277897887388,7
113,-7871729397357532092,6
114,-1764195838434602620,11
115,-3308082957911735086,7
116,-89275683011866947,10
117,1220277330610936601,11
118,-3083930196366929925,3
119,-1486895391231308266,0
120,4145820532719229497,10
121,-6761680180641126837,6
122,-534250270763322993,9
123,6462162586841545955,4
124,-5666622476156264306,9
125,-7081696914487382867,0
126,4466541852841154912,11
127,-8321908479986132760,5
128,2906459389292719884,3
129,-9020551998192666221,9
130,2768390138444160377,9
131,3621450887079159051,8
132,-6366616433864018023,9
133,-4153016902999300902,6
134,-5435817017335868629,10
135,-4442019291911240531,10
136,-372471897503171806,2
137,-658290552588459095,3
138,-8722986603099385753,8
139,-795908149559357565,10
140,-5275279466940745403,7
141,-5244866551411023536,7
142,4509288522336199643,9
143,-6051910124842179579,0
144,3117686052457369406,10
145,2765275027075841647,10
146,-9196164419221264306,2
147,-559827801669334814,9
148,-2855663313453311713,5
149,-3831204301293358166,10
150,-4261298141676358361,7
151,1331998127972214876,6
152,4504238316538043397,9
153,2350979402202438478,11
154,5083117393241190146,7
155,4331484253678219778,9
156,7931302384780562423,10
157,1248123226307882340,11
158,-6437694268331694542,0
159,8255202087854630009,0
160,-4559714995985315544,10
161,-4181223989600224287,4
162,-3403327378839291087,11
163,-5820212615102201603,1
164,1655207476946401033,5
165,2971785997378714382,6
166,-3958129544583009879,6
167,-8698295128397143984,10
168,6492368292583337221,0
169,9080521639649574492,0
170,5089640091501153745,7
171,-6760236442849448755,9
172,5384392297082624469,6
173,-4836439251236475689,5
174,8105201598715162747,7
175,3548666807647127472,7
176,-2214838058754622316,9
177,-2326462999267631753,0
178,6057196279748329677,0
179,-2213814461577252328,11
180,2988631325980186278,10
181,-6205676146629545413,11
182,-6862944838864243588,9
183,-4406007526141470340,5
184,-914822362304085729,0
185,-4274187834430768408,6
186,-2752622769038295551,3
187,54458549033808295,8
188,-4133889713256519154,6
189,2321976241366863181,3
190,5699929136592398294,4
191,-7845561943441724927,1
192,1183494074549624287,8
193,1003566728246524371,8
194,8850873295039018075,9
195,-8431427096333775765,3
196,-852279455623684238,7
197,-8191972469937094180,7
198,5178654063935103877,8
199,5027123504680495244,2
200,-2498892829701457796,1
201,1993964994696462226,9
202,6710249205142198370,0
203,2765905164471782925,3
204,2807652042525660331,3
205,1688114336091513506,8
206,-4585990899639134968,9
207,5241579299422332799,4
208,8214533812924850502,9
209,7508529069501265627,10
210,-2535290098489519222,9
211,-1087259743260020439,4
212,8312872874637120852,6
213,7242086349400713657,7
214,-8705653244529492106,7
215,65748526651380969,7
216,-2348627094966653976,8
217,7643874665020805874,2
218,7993558434590680461,6
219,6439243668706963297,10
220,6337678717228450894,0
221,-9146812498535950934,9
222,-6480080657208364420,6
223,4038073925690069542,9
224,7911725423207397624,2
225,1658085882014145174,11
226,1372314456401181372,3
227,2822345170902091099,1
228,-1269413177640095756,10
229,-1361651198922637097,11
230,1515934647426471091,9
231,-5766897591916985120,0
232,6929564672899345163,10
233,-8556761224107686670,3
234,-3016151821685067082,9
235,-3730802666003529964,6
236,4130545496999391688,11
237,1881310789793125437,4
238,6680107774626194230,2
239,7015412714644516331,6
240,-934940655672200057,0
241,-4571536781140124453,9
242,-7842143681618677254,3
243,-652769727700242373,1
244,3521018635428507376,11
245,-5141441394062500976,11
246,-7096728886844215191,3
247,4642403009097138987,2
248,-3206031069231204629,0
249,-571802265450950027,10
250,7602260359189990239,7
251,-5034370603368885221,5
252,-653924232152210958,10
253,-633614870014866594,3
254,-4142731555923702725,6
255,2615349871236964903,3
256,-8402034050020334556,11
257,-2791436439565040715,7
258,6441712774371241938,1
259,-4310604837244504435,9
260,3060531264587685319,4
261,7965927200072955962,11
262,-927315601370273178,8
263,-8822687532913078448,0
264,4430481821100890855,10
265,-573843288133968394,6
266,-3791141889400927228,11
267,6194073410746945446,8
268,-400544601861285975,9
269,6013814805871587790,11
270,-2664549792065007871,3
271,7103676596949150999,11
272,-7813436012032030739,8
273,-7117358647536059731,6
274,-2405257875610476683,4
275,3017014922206442324,7
276,7144698002724053260,1
277,6988374180469917043,2
278,4006235414604068329,8
279,3897454444782499729,10
280,407130328966219190,2
281,-3618768658334637450,0
282,7624586743179072310,9
283,1293798933189168267,6
284,-265343936860439261,8
285,4133369824860669894,7
286,-3734654124130642589,9
287,1911739968382820788,10
288,8313326137589139040,6
289,-761865820436732441,7
290,3901882308261223495,7
291,-1467457864578591885,7
292,3172697876843277757,11
293,-5848807169962693508,4
294,2879535020265381561,6
295,6677211938539893758,10
296,-3892035093277310867,6
297,2919597898175062653,0
