,device_id,group
51662,-2408208566724105772,6
371,-4671788193261470496,2
35515,-74515834348903802,6
48014,473067357855167588,3
71899,4577005331619877737,10
11809,-4577155977610143811,3
63699,-1709670870755556908,0
29669,-1990421704913432900,3
37653,-4682755016077624930,7
2571,-8980986774737196078,7
26497,-5278757513380485555,11
6583,6290193875007150071,1
11747,-7417415303066097571,10
17594,8317353636800489107,0
67436,-5578763493095707980,7
14871,-7134667776292066482,10
55669,6018996396831358160,4
9141,-2500708989251186580,0
54804,7611033304582213467,1
5103,-7034665497667244382,9
9752,-5916907896940523971,6
23900,5809168267116144427,5
55573,-7741601049543882438,4
15953,-5046431315301685006,11
15216,7821084716976402810,4
30306,7018857895812304147,3
69339,-4238421790975147846,1
68148,1880891418617005764,10
43482,-5409636853769476117,5
36432,4441902078723600268,3
68339,662404136108709029,9
6011,7136057906309574890,11
71787,-7431882452635578534,5
66309,-1243239312945150264,4
61683,6363751092516878203,9
20054,1168992209829753575,7
46317,-3901622911833609021,5
24497,29487598347576048,1
19525,-7732303762373670248,11
64837,-8734007879304620638,8
66891,-6437818933320340905,10
19150,-7003104737217144264,11
31476,-2143901841176810572,7
47962,634833778880933245,2
42902,5622773469097244262,8
36500,4032974355951209216,1
4721,-5530825489210546039,5
33029,-2705029117956139963,11
3134,-3646198131152485533,8
59197,5587566494019315672,6
74391,5857209374172698518,9
1606,-5386241374996211238,3
65828,3135957687639093178,6
14265,7079497146197674654,9
70981,-5904991892265023329,10
64153,2387957760581210378,1
54701,5341994072577507514,0
24725,6587526920317175888,0
16364,-1179758987856559193,5
36017,-5714257492950624693,10
7057,7829663241235169408,1
71693,-4480135983108962229,7
36943,6837767088078552208,7
55773,-910420491496698212,6
44411,-2435306031176552189,8
69426,4726323055795270656,10
13228,4539428757034939785,5
67186,-5687569307609252167,11
18005,4808428030056092444,7
15338,4734517087674737000,8
15201,4615182565064775871,8
60450,5332441184841027087,7
68232,1301919312688637589,10
12505,-974530567256954804,9
12458,-1280059125287368553,8
1224,5048077456995290494,7
72263,-927821838730575869,10
16747,284767590597232814,11
11328,5447822007460485698,11
43502,3212691758567263767,7
30883,-8310015195539444492,5
14898,-1715535898174897665,4
10379,1289892584378613180,11
62295,-8180147862247455085,7
67800,8709959765951244909,3
3179,8649402009448289042,10
5308,-7124703326092339116,8
9940,-8475094500256639783,7
27870,-3735661266313105266,9
69437,-3883634313964152161,7
72206,5278793174485902725,7
50053,2646151307206446093,10
2132,244567840384137144,7
20806,-1112264169455124253,7
27202,1046447956738965024,10
46248,-8469609588260229483,4
52668,8011877543933924097,6
66639,-89164965532617649,10
60556,3004710749997966608,4
26594,3878505352995070490,6
22911,-6891708288958075633,4
265,-5284404864046190914,5
30263,7086469189998544955,6
43213,-4328523299637802512,4
33114,4937496552940648555,0
42935,658337724743399392,0
14234,-7474689189882112536,6
52091,-5422105560097419050,8
49386,-6895713631853898094,9
12135,5562385415447276872,11
27028,-5758594253098005745,0
15349,3715622587494533540,9
8621,5836720213217129742,11
54706,228203701650427491,4
71303,-5591263844938742257,8
62563,-47354663945705093,11
50149,-2507876330686786280,5
21414,-6372189327812957168,7
53439,2735525099593235471,9
60221,2738514969622947247,9
35431,8464401202243492639,8
70715,-8282092973840651780,7
7338,6033320217421382522,4
29115,-6159196207800174118,11
74150,1487924233731554701,11
71982,1303718222581613173,9
43226,8855954758919276727,7
17990,7088119471278742707,4
64978,-6471161214991880430,5
9459,3337015533655954231,11
66756,1202194606908417415,2
65092,-3666866090716846153,8
25043,-5107600463161160881,4
12677,-6642466047328445020,8
46583,-316711336308799837,8
44845,-4212774056255907894,10
53018,1443385171543693943,11
64215,7879777237022921147,10
33646,6725305563775337478,11
51458,-1894048225365984209,2
32506,8539870903150472243,5
53451,-3453077093377902137,10
37059,-8906501571652845053,11
49664,6526615936555077011,1
33898,-8347511878076176189,11
62800,5477760911508851242,7
47136,6992789134155202281,11
50815,-6329003260916034907,9
51197,-646271322490167493,5
61768,985129548079715423,9
63856,-8942048192646397908,9
59315,-4925265387387990789,5
30765,-9029896681346557913,6
1442,-7754314249309069175,1
