,group
-9222956879900151005,10
-9221026417907250887,3
-9220830859283101130,6
-9220061629197656378,11
-9218960997324667698,5
-9218769147970107256,7
-9217193238265898015,10
-9216200545381120263,5
-9215964883962797708,8
-9215766592714662253,4
-9215352913819638805,6
-9214243372173201436,4
-9213722931755358670,3
-9212424538588397592,0
-9212412905070443687,10
-9209849644716288960,3
-9208560418953812508,0
-9206899042396323934,1
-9206882335892076700,11
-9206202041936929793,6
-9205645091197548271,11
-9205293319808660496,11
-9205185018270018067,8
-9204782609839902053,1
-9202108340585996084,7
-9201434269962947628,10
-9201141107731295908,2
-9201125158282496009,1
-9200975789875358770,9
-9198513807097378193,6
-9197301066560262364,6
-9195844738096952132,0
-9195568263718055018,7
-9193015452864618221,11
-9192503757087427819,11
-9191986234751995565,10
-9191390827140274833,5
-9190825597212946223,7
-9186795909905699099,7
-9185683155567867976,4
-9185115130004278864,9
-9185095540883605384,4
-9184903836810508632,6
-9184179133460531226,0
-9182923830743954408,9
-9182270938122267037,7
-9182040156710847707,7
-9181603575279521900,10
-9181500556164740330,2
-9178849278691786852,0
-9178218952026352936,7
-9177461074950576614,10
-9176548072202141379,7
-9176094791256868912,2
-9175623150662212253,10
-9174709762639367900,11
-9174409012143247712,0
-9174142387982011518,9
-9173774246501780929,3
-9173470456704182813,10
-9172470603844360189,11
-9171984829241460911,8
-9171692083851604107,8
-9171634610175383030,9
-9170269697234054624,7
-9170266620213363189,11
-9169899275162689706,4
-9167960113940184827,9
-9167060588995723650,5
-9165078741528677753,6
-9163358550512865590,8
-9162848328412258499,7
-9161779555521396847,11
-9161182792644589448,11
-9161106488982207681,4
-9160772583967929589,9
-9160645806948539138,2
-9159362333654849758,7
-9158733571974617700,2
-9158402583451458911,7
-9158393146383062039,9
-9156769850272239256,9
-9156025818459959950,9
-9155576106019233985,11
-9155219102136125817,7
-9154634736868150566,10
-9153933338384923161,7
-9153359559453120806,3
-9151932079029728088,6
-9151380756297883441,7
-9150780438608446728,1
-9150058871674889191,1
-9150025819192447963,4
-9149005536079835617,10
-9148504360104384619,7
-9148047433554848184,9
-9146895209498043819,7
-9146464840760395156,8
-9142943697566922084,10
-9142376725008534333,11
-9140293699412993860,10
-9139757358587513392,11
-9139549651607370599,5
-9139512098545222229,9
-9138332636663558165,7
-9138064863526363121,9
-9137920294879632359,2
-9137123892151396745,10
-9135912902491353573,6
-9135878445495545206,6
-9135437265387254674,6
-9135068837991621094,7
-9134556132023507861,3
-9133255755135006117,10
-9132600467596064152,6
-9132016908397290901,9
-9128599196840350856,7
-9127983430276123114,7
-9127284204001294289,4
-9127213973650576904,8
-9126875497787024816,0
-9125275793462800722,0
-9124308220957381253,10
-9124141452628560252,6
-9122745692722607839,10
-9118887241036607293,11
-9118749350345620696,11
-9118451414671594048,6
-9114599703492078391,6
-9111513492628746483,4
-9111269278388868224,8
-9111100911241120008,9
-9111055107595314923,0
-9110575428190503875,7
-9108166834413909435,0
-9108124698819202119,0
-9107022519237996384,4
-9106449676804591392,3
-9105987440015885683,9
-9104696846276818877,11
-9104016315232997329,11
-9103344426105443058,9
-9101962973644735950,3
-9101460140912890974,3
-9101136702913293314,2
